Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.08302566,0.7660742,0.0003400272,8.041596e-05,0.0387871,0.1900298,6.700968000000001e-17,5.514324e-06,0.0005976191,0.002506968,0.0520936,2.1367571590446044,728.1458,7.364647651949608e-05,0.0387871,6.681763568247703,7.364648e-05,0.001504439,0.1212895
0.08817308,0.766007,0.0003615731,9.215903e-05,0.04118056,0.1873767,1.230273e-16,6.757341e-06,0.0006355748,0.002677151,0.05365989,2.212411406750731,752.4662,7.7936616625608e-05,0.04118056,8.547023145141932,7.793662e-05,0.001695839,0.1590894
0.0932897,0.7659395,0.0003831449,0.000104736,0.04355655,0.1847411,2.169407e-16,8.1708e-06,0.0006736138,0.00284795,0.05520852,2.286910274447528,776.3061,8.224614381189522e-05,0.04355655,10.773810395013438,8.224614e-05,0.001897173,0.2051983
0.09839206,0.7658717,0.0004048406,0.0001181922,0.04592233,0.1821148,3.695496e-16,9.768283e-06,0.0007119166,0.003019759,0.05674387,2.3604875162076975,799.7421,8.658350826512901e-05,0.04592233,13.41150402474924,8.658351e-05,0.00210886,0.2609154
0.1034897,0.7658031,0.0004267337,0.0001325643,0.04828178,0.1794933,6.10537e-16,1.156224e-05,0.000750622,0.003192738,0.05826796,2.4332694113458975,822.8158,9.09519120266044e-05,0.04828178,16.511978863648586,9.095191e-05,0.00233113,0.3276364
0.1085867,0.7657338,0.0004488779,0.0001478815,0.05063617,0.1768749,9.810311e-16,1.356383e-05,0.0007898379,0.003366852,0.05978093,2.5052974514611144,845.5416,9.534999255926656e-05,0.05063617,20.128844942631194,9.534999e-05,0.002564022,0.406837
0.1136857,0.7656637,0.0004713273,0.0001641757,0.05298613,0.1742586,1.53655e-15,1.578386e-05,0.0008296752,0.00354203,0.0612824,2.5765977418182073,867.9282,9.977570716657473e-05,0.05298613,24.319114722241476,9.977571e-05,0.00280753,0.5001075
0.1187928,0.7655925,0.0004941545,0.0001814979,0.0553337,0.1716418,2.350944e-15,1.823514e-05,0.0008702831,0.00371831,0.06277278,2.6472366555447433,889.9971,0.00010422980767296251,0.0553337,29.147637447174397,0.0001042298,0.003061818,0.6092567
0.1239175,0.76552,0.0005174556,0.0001999224,0.05768248,0.1690201,3.520984e-15,2.093366e-05,0.0009118576,0.003895859,0.06425336,2.71733001674147,911.7841,0.00010871651536120245,0.05768248,34.690331712627135,0.0001087165,0.003327268,0.7363936
0.1290708,0.7654461,0.0005413419,0.000219544,0.06003651,0.1663885,5.171659e-15,2.389907e-05,0.0009546298,0.004074899,0.06572558,2.78700353364178,933.3278,0.00011324127674861478,0.06003651,41.03536623874085,0.0001132413,0.003604383,0.8839674
0.1342641,0.7653704,0.0005659376,0.000240473,0.06239992,0.1637421,7.461305e-15,2.715454e-05,0.0009988627,0.004255668,0.0671908,2.8563846910348656,954.666,0.00011781015838938751,0.06239992,48.2841554341719,0.0001178102,0.00389375,1.054805
0.139507,0.7652927,0.0005913724,0.0002628284,0.06477583,0.1610769,1.058685e-14,3.072712e-05,0.001044842,0.004438337,0.0686496,2.925569418203712,975.8262,0.0001224275321827264,0.06477583,56.55067173999411,0.0001224275,0.004195908,1.252104
0.144804,0.7652127,0.0006177649,0.0002867145,0.06716484,0.1583918,1.4784e-14,3.464482e-05,0.001092846,0.004622888,0.07010094,2.9945830986328827,996.8133,0.00012709337080155707,0.06716484,65.95452485998078,0.0001270934,0.004511116,1.479279
0.1501582,0.7651302,0.0006452411,0.0003122296,0.06956669,0.1556865,2.032956e-14,3.893964e-05,0.001143183,0.004809228,0.07154699,3.063426092854283,1017.625,0.00013180596014053774,0.06956669,76.62495607812839,0.000131806,0.004839524,1.74006
0.1555737,0.765045,0.0006739481,0.0003394706,0.07198135,0.1529606,2.754276e-14,4.365013e-05,0.001196222,0.004997272,0.07299565,3.1321049844005513,1038.258,0.00013656400566159298,0.07198135,88.7049090421052,0.000136564,0.005181315,2.038597
0.1610536,0.7649568,0.000704047,0.0003685155,0.0744082,0.1502146,3.678004e-14,4.882069e-05,0.001252377,0.005186866,0.07444747,3.2006022253147153,1058.706,0.00014136455115394515,0.0744082,102.34674556364527,0.0001413646,0.00553658,2.379376
0.1665992,0.7648653,0.0007357089,0.0003994084,0.07684545,0.1474499,4.842525e-14,5.45016e-05,0.001312113,0.005377734,0.07590215,3.2688743990583027,1078.951,0.00014620259764372995,0.07684545,117.70817908332263,0.0001462026,0.005905223,2.767111
0.1722068,0.7647703,0.0007690943,0.0004321257,0.07928887,0.1446712,6.286418e-14,6.074473e-05,0.001375906,0.005569372,0.07735803,3.3368114030858167,1098.956,0.00015106826348664092,0.07928887,134.93671570333478,0.0001510683,0.006286725,3.206348
0.177862,0.7646717,0.0008043145,0.0004665269,0.08172946,0.1418884,8.043659e-14,6.759541e-05,0.001444172,0.005760856,0.07881072,3.4041799926129297,1118.648,0.0001559422514906053,0.08172946,154.14045306231523,0.0001559423,0.006679705,3.70069
0.1835401,0.7645696,0.0008414158,0.0005023347,0.08415384,0.1391169,1.013819e-13,7.508653e-05,0.001517231,0.005950871,0.08025335,3.47063512969937,1137.927,0.00016079643440829316,0.08415384,175.36560538115037,0.0001607964,0.007081869,4.252158
0.1892144,0.7644642,0.0008804147,0.000539177,0.08654805,0.1363726,1.25816e-13,8.32429e-05,0.001595366,0.006138016,0.08167876,3.5358278362996574,1156.69,0.00016560148674488862,0.08654805,198.6067423993845,0.0001656015,0.007490565,4.861387
0.1948644,0.7643555,0.000921348,0.0005766479,0.08890103,0.1336687,1.537406e-13,9.20911e-05,0.001678923,0.006321088,0.08308154,3.5994982299467453,1174.864,0.000170333907453301,0.08890103,223.83429349948617,0.0001703339,0.007903393,5.528298
0.2004775,0.7642434,0.0009642892,0.0006143371,0.0912054,0.1310141,1.850564e-13,0.0001016629,0.001768344,0.006499157,0.08445845,3.661492123947367,1192.411,0.00017497765574431363,0.0912054,251.00934522634793,0.0001749777,0.008318425,6.25248
0.2060462,0.7641278,0.001009332,0.0006518262,0.09345603,0.128415,2.195612e-13,0.0001119928,0.001864143,0.006671454,0.08580752,3.721718198197125,1209.307,0.0001795212456144203,0.09345603,280.07816352559854,0.0001795212,0.00873403,7.03304
0.2115642,0.7640084,0.00105657,0.00068868,0.09564856,0.1258771,2.56943e-13,0.0001231128,0.00196686,0.006837271,0.08712719,3.780106659489504,1225.538,0.00018395492147206421,0.09564856,310.95989004425746,0.0001839549,0.009148647,7.868261
0.2170262,0.763885,0.001106083,0.0007244571,0.09777913,0.1234053,2.967873e-13,0.0001350494,0.002077038,0.006995944,0.08841609,3.836600710384988,1241.094,0.00018826997698806895,0.09777913,343.5422720502871,0.00018827,0.009560758,8.755476
0.2224281,0.7637574,0.001157944,0.0007587253,0.09984452,0.121004,3.385964e-13,0.0001478242,0.002195231,0.007146874,0.08967316,3.89116111080198,1255.97,0.00019245912432532127,0.09984452,377.68535837788386,0.0001924591,0.009968928,9.691147
0.2277666,0.7636252,0.001212217,0.000791076,0.1018422,0.1186764,3.818119e-13,0.0001614532,0.002322006,0.007289534,0.0908976,3.9437603992032026,1270.163,0.00019651623981375987,0.1018422,413.2236652441523,0.0001965162,0.01037183,10.67093
0.2330397,0.7634882,0.001268956,0.0008211354,0.1037701,0.1164254,4.258376e-13,0.000175946,0.00245793,0.007423473,0.09208887,3.9943870872649754,1283.679,0.00020043662645250894,0.1037701,449.96730594169077,0.0002004366,0.01076823,11.68969
0.2382463,0.763346,0.001328204,0.0008485725,0.1056269,0.1142528,4.700611e-13,0.0001913051,0.002603574,0.00754831,0.09324665,4.043042227554546,1296.522,0.0002042167313216503,0.1056269,487.705310738118,0.0002042167,0.01115704,12.74159
0.2433865,0.7631984,0.001390003,0.0008731065,0.1074118,0.1121601,5.138775e-13,0.0002075277,0.002759523,0.007663743,0.09437086,4.08973533686741,1308.702,0.00020785400953562692,0.1074118,526.2098868533822,0.000207854,0.01153729,13.82025
0.2484616,0.7630449,0.001454392,0.0008945132,0.1091244,0.1101475,5.56712e-13,0.0002246062,0.00292639,0.007769556,0.09546173,4.1344934170595815,1320.232,0.00021134740659765924,0.1091244,565.2431330198837,0.0002113474,0.01190813,14.91883
0.2534746,0.7628851,0.001521414,0.0009126236,0.1107652,0.1082147,5.98033e-13,0.0002425286,0.003104819,0.007865608,0.09651979,4.177350239905224,1331.128,0.00021469679538753698,0.1107652,604.5590765048278,0.0002146968,0.01226893,16.03028
0.2584292,0.7627186,0.001591115,0.000927318,0.112335,0.106361,6.373549e-13,0.0002612788,0.003295493,0.007951804,0.09754565,4.218350245402525,1341.405,0.0002179029737260055,0.112335,643.905011189174,0.000217903,0.01261915,17.14724
0.2633293,0.7625449,0.001663537,0.0009385247,0.1138344,0.1045853,6.742439e-13,0.0002808345,0.00349912,0.008028098,0.09853998,4.257534878790111,1351.081,0.00022096678399013614,0.1138344,683.0209934787339,0.0002209668,0.01295827,18.26204
0.268179,0.7623634,0.001738718,0.0009462164,0.1152643,0.1028865,7.083189e-13,0.0003011659,0.003716415,0.008094475,0.09950343,4.294942275975811,1360.171,0.0002238891561297416,0.1152643,721.637919186366,0.0002238892,0.01328586,19.36675
0.2729816,0.7621738,0.001816675,0.0009504071,0.1166254,0.1012636,7.392483e-13,0.0003222322,0.003948067,0.008150949,0.1004364,4.330609091507503,1368.688,0.0002266707489875036,0.1166254,759.4758057531276,0.0002266707,0.01360148,20.45305
0.2777393,0.7619756,0.001897398,0.0009511508,0.1179179,0.0997159,7.667499e-13,0.0003439798,0.004194711,0.008197554,0.1013392,4.364553713471413,1376.641,0.00022931133889231991,0.1179179,796.2456108956718,0.0002293113,0.01390463,21.5123
0.2824535,0.7617683,0.001980855,0.0009485435,0.1191423,0.09824286,7.905988e-13,0.0003663426,0.00445692,0.008234372,0.1022118,4.396796845562071,1384.041,0.00023181082517764157,0.1191423,831.6558820568039,0.0002318108,0.01419489,22.53581
0.2871255,0.7615517,0.002067001,0.0009427201,0.1202987,0.09684364,8.106319e-13,0.0003892461,0.004735231,0.008261531,0.1030543,4.427354854705282,1390.897,0.00023416908510925604,0.1202987,865.4256791008927,0.0002341691,0.01447178,23.51508
0.2917568,0.7613254,0.00215578,0.0009338491,0.1213878,0.0955173,8.267456e-13,0.0004126081,0.005030145,0.008279212,0.1038669,4.4562505375352215,1397.218,0.00023638657795163097,0.1213878,897.2887726104582,0.0002363866,0.014735,24.44205
0.2963484,0.761089,0.002247119,0.0009221276,0.12241,0.0942628,8.388908e-13,0.0004363376,0.005342104,0.008287637,0.1046495,4.483500717360115,1403.015,0.00023846345946915354,0.12241,926.9965028694404,0.0002384635,0.01498421,25.30916
0.3009019,0.7608423,0.002340947,0.0009077751,0.123366,0.09307886,8.470739e-13,0.0004603404,0.005671533,0.008287074,0.1054025,4.509131442083363,1408.297,0.00024040078062083524,0.123366,954.3283603625702,0.0002404008,0.01521917,26.10961
0.3054201,0.7605849,0.002437215,0.0008910225,0.1242571,0.09196368,8.513506e-13,0.0004845258,0.006018932,0.008277825,0.1061263,4.533173765616784,1413.076,0.00024220017588714212,0.1242571,979.0998023536239,0.0002422002,0.01543983,26.83773
0.3099076,0.7603164,0.002535907,0.0008721023,0.1250848,0.09091508,8.51815e-13,0.0005088081,0.006384911,0.008260208,0.1068216,4.555667523739584,1417.367,0.00024386397141227514,0.1250848,1001.1603285182965,0.000243864,0.01564621,27.48882
0.3143699,0.7600361,0.002637035,0.0008512436,0.1258504,0.08993077,8.485887e-13,0.0005331049,0.006770179,0.008234535,0.1074892,4.576652755167841,1421.182,0.0002453946287487935,0.1258504,1020.3885303589972,0.0002453946,0.01583832,28.059
